,LD,Velocity (km/s),a (degrees),$ (degrees),DI
429,2,0.5,90,60,0.07121
430,2,1.25,-15,30,0.49217
431,1,0.25,45,60,0.00108
432,4,2.15,-75,60,0.49777
433,1,1.25,-60,60,0.31667
434,2,0.5,0,30,0.14328
435,2,1.25,-90,30,0.45242
436,1,1.5,45,0,0.67802
437,4,1.0,-30,30,0.32212
438,1,1.0,45,75,0.1341
439,1,1.5,-45,0,0.6834
440,1,1.5,30,30,0.60529
441,1,0.25,0,15,0.02575
442,2,2.15,-60,0,0.97253
443,1,0.25,60,0,0.02858
444,1,1.25,90,60,0.32509
445,4,1.25,-15,15,0.52821
446,4,1.25,-30,0,0.54142
447,2,2.15,15,60,0.59787
448,4,0.5,60,30,0.12853
449,2,1.25,45,0,0.52857
450,2,0.5,-30,30,0.13357
451,4,1.81,-15,30,0.70507
452,2,1.0,-90,60,0.24168
453,1,1.81,-60,75,0.21702
454,2,1.0,-15,75,0.08119
455,4,2.15,90,75,0.3028
456,4,2.15,-60,15,0.8999
457,4,1.5,75,75,0.22244
458,4,1.25,-45,45,0.34952
459,2,1.0,15,75,0.09847
460,2,1.25,60,45,0.43875
461,1,1.81,-60,45,0.61211
462,1,0.25,90,75,7e-05
463,4,1.81,90,75,0.25409
464,2,2.15,-45,30,0.86315
465,1,0.25,-60,15,0.02597
466,2,0.25,90,45,0.01109
467,4,1.81,-90,60,0.46432
468,1,1.81,60,15,0.8126
469,1,1.25,90,15,0.52938
470,2,1.0,-60,15,0.38573
471,1,1.0,-90,45,0.32582
472,1,0.5,-90,75,0.02148
473,1,1.81,90,60,0.4866
474,4,2.15,15,45,0.82183
475,2,0.25,45,75,4e-05
476,4,0.5,90,45,0.091
477,4,0.5,90,0,0.11601
478,1,0.5,45,45,0.12566
479,1,1.5,45,15,0.63936
480,1,1.25,-90,60,0.32509
481,4,2.15,45,60,0.63776
482,1,1.25,-60,75,0.12179
483,1,1.0,30,60,0.2418
484,1,0.25,-90,75,7e-05
485,4,1.0,-90,0,0.35602
486,4,1.5,-45,60,0.32037
487,4,1.81,-45,60,0.41443
488,2,0.25,60,75,7e-05
489,2,1.81,15,60,0.49771
490,2,1.5,75,60,0.41948
491,2,1.5,0,0,0.70593
492,4,1.81,-30,45,0.54514
493,1,2.15,75,45,0.74954
494,2,2.15,-75,0,0.9703
495,4,1.25,-15,0,0.62148
496,4,1.5,60,60,0.45146
497,1,0.25,-30,60,0.00256
498,1,1.5,0,0,0.6503
499,2,0.5,-45,15,0.14072
500,2,1.5,-45,15,0.62796
501,2,0.5,-45,30,0.13458
502,1,1.25,60,30,0.49342
503,2,0.25,-75,30,0.01518
504,2,0.5,-90,75,0.02046
505,4,0.5,30,75,0.01008
506,1,1.25,-60,0,0.54772
507,2,1.25,-60,75,0.1325
508,4,1.5,-90,30,0.52555
509,4,0.5,-75,15,0.12081
510,2,1.81,15,30,0.75455
511,2,1.5,0,45,0.51693
512,4,1.5,-45,0,0.61238
513,1,1.25,45,45,0.43178
514,4,1.5,90,45,0.46517
515,2,0.25,-45,15,0.02189
516,1,0.25,45,75,4e-05
517,2,0.25,90,75,0.0
518,4,0.5,0,45,0.08924
519,4,0.25,75,75,3e-05
520,4,1.5,-75,15,0.56629
521,1,1.25,30,45,0.42933
522,1,1.0,45,60,0.24291
523,2,0.5,90,45,0.10805
524,2,1.25,60,15,0.52043
525,4,1.25,-60,75,0.10805
526,1,2.15,-30,0,0.99382
527,4,1.81,-30,0,0.82928
528,4,1.0,60,0,0.36435
529,1,0.5,-30,15,0.14813
530,4,1.0,60,75,0.14273
531,4,1.0,0,75,0.06342
532,4,0.5,30,60,0.04223
533,1,1.5,-30,30,0.60716
534,1,1.81,60,60,0.4872
535,2,1.5,-15,0,0.70898
536,2,1.0,60,30,0.38034
537,2,2.15,-45,75,0.21989
538,2,2.15,-30,75,0.16817
539,2,2.15,15,30,0.92154
540,4,1.5,75,60,0.40157
541,1,1.0,90,30,0.38054
542,4,1.25,-15,75,0.096
543,1,0.25,0,0,0.02408
544,4,1.5,0,75,0.10933
545,2,1.25,90,0,0.50058
546,2,1.25,-30,75,0.09409
547,4,1.0,-75,15,0.34954
548,1,2.15,-45,45,0.76518
549,4,1.25,-90,30,0.43447
550,1,1.81,75,75,0.27854
551,2,0.25,75,45,0.01242
552,2,2.15,0,30,0.94688
553,1,1.25,-90,30,0.49316
554,1,0.25,15,15,0.02119
555,2,1.81,-30,60,0.46084
556,4,0.25,75,45,0.00693
557,4,1.5,-75,75,0.22072
